dataset,role,text,context,relation,entity_type,db,id,name,score,matched,n_candidates,error
chemprot,head,SSAT,"During polyamine catabolism, spermine and spermidine are first acetylated by spermidine/spermine N(1)-acetyltransferase (SSAT) and subsequently oxidized by polyamine oxidase (PAO) to produce spermidine and putrescine, respectively.",CPR:4,,HGNC,10540,SAT1,0.5555555555555556,True,1,
chemprot,tail,spermidine,"During polyamine catabolism, spermine and spermidine are first acetylated by spermidine/spermine N(1)-acetyltransferase (SSAT) and subsequently oxidized by polyamine oxidase (PAO) to produce spermidine and putrescine, respectively.",CPR:4,,CHEBI,CHEBI:16610,spermidine,0.7777777777777778,True,2,
chemprot,head,PDE5,"PDE5 is the predominant PDE in the corpus cavernosum, and cGMP is its primary substrate.",CPR:3,,HGNC,8784,PDE5A,1.0,True,1,
chemprot,tail,PDE5,"PDE5 is the predominant PDE in the corpus cavernosum, and cGMP is its primary substrate.",CPR:3,,HGNC,8784,PDE5A,1.0,True,1,
chemprot,head,Raf-1,"Moreover, geldanamycin decreases the amount and phosphorylation of Lck and Raf-1 kinases and prevents activation of the extracellular signal regulated kinase (ERK)-2 kinase.",CPR:9,,HGNC,9829,RAF1,1.0,True,2,
chemprot,tail,Lck,"Moreover, geldanamycin decreases the amount and phosphorylation of Lck and Raf-1 kinases and prevents activation of the extracellular signal regulated kinase (ERK)-2 kinase.",CPR:9,,HGNC,6524,LCK,1.0,True,1,
chemprot,head,prostaglandin,"The higher concentrations in calves were insufficient to inhibit significantly exudate prostaglandin E2 (PGE2), leukotriene B4 (LTB4) and beta-glucuronidase concentrations and exudate leucocyte numbers, serum thromboxane B2 (TxB2), and bradykinin-induced skin swelling.",CPR:3,,CHEBI,CHEBI:26333,prostaglandin,0.7777777777777778,True,1,
chemprot,tail,LTB4,"The higher concentrations in calves were insufficient to inhibit significantly exudate prostaglandin E2 (PGE2), leukotriene B4 (LTB4) and beta-glucuronidase concentrations and exudate leucocyte numbers, serum thromboxane B2 (TxB2), and bradykinin-induced skin swelling.",CPR:3,,CHEBI,CHEBI:15647,leukotriene B4,0.5555555555555556,True,1,
chemprot,head,N,Substitutions for Ile(183)-Val(191) and Ser(195)-Ile(197) at the N terminus and for Ser(258)-Ser(264) at the C terminus of the A3 domain markedly decreased factor XI coagulant activity.,CPR:3,,CHEBI,CHEBI:17196,L-asparagine,0.5555555555555556,True,6,
chemprot,tail,factor XI,Substitutions for Ile(183)-Val(191) and Ser(195)-Ile(197) at the N terminus and for Ser(258)-Ser(264) at the C terminus of the A3 domain markedly decreased factor XI coagulant activity.,CPR:3,,HGNC,3529,F11,0.549371263656978,True,1,
chemprot,head,GABA,"Two alleles of the HG1 gene, which encodes a putative GABA receptor alpha/gamma subunit, were isolated from Haemonchus contortus.",CPR:4,,CHEBI,CHEBI:16865,gamma-aminobutyric acid,0.5555555555555556,True,1,
chemprot,tail,GABA receptor alpha/gamma,"Two alleles of the HG1 gene, which encodes a putative GABA receptor alpha/gamma subunit, were isolated from Haemonchus contortus.",CPR:4,,,,,0.0,False,0,
chemprot,head,Cl,"Bumetanide-sensitive Cl- secretion was dependent on extracellular Na+ and either K+ or NH, consistent with the ion dependency of NKCC1-mediated Cl- transport.",CPR:4,,CHEBI,CHEBI:17996,chloride,0.5555555555555556,True,3,
chemprot,tail,Na,"Bumetanide-sensitive Cl- secretion was dependent on extracellular Na+ and either K+ or NH, consistent with the ion dependency of NKCC1-mediated Cl- transport.",CPR:4,,CHEBI,CHEBI:26708,sodium atom,0.5555555555555556,True,3,
chemprot,head,PPAR-alpha,"4-chloro-6-[(2,3-xylidine)-pirimidinylthio] acetic acid (WY-14,643), a specific ligand of the PPAR-alpha subtype, causes the most dramatic increase in UCP-3 mRNA, whereas troglitazone, a specific activator of PPAR-gamma, also significantly increases UCP-3 mRNA abundance in skeletal muscle of lactating mice.",CPR:3,,HGNC,9232,PPARA,0.7713873428159143,True,1,
chemprot,tail,UCP-3,"4-chloro-6-[(2,3-xylidine)-pirimidinylthio] acetic acid (WY-14,643), a specific ligand of the PPAR-alpha subtype, causes the most dramatic increase in UCP-3 mRNA, whereas troglitazone, a specific activator of PPAR-gamma, also significantly increases UCP-3 mRNA abundance in skeletal muscle of lactating mice.",CPR:3,,HGNC,12519,UCP3,0.7775716347144919,True,1,
chemprot,head,fluticasone,"We examined the effect of the highly lipophilic corticosteroid, fluticasone propionate (FP), in causing (1) inhibition of nuclear translocation of cytosolic phospholipase A2 (cPLA2), and (2) blockade of leukotriene C4 (LTC4) synthesis in isolated human eosinophils in vitro.",CPR:3,,CHEBI,CHEBI:5134,fluticasone,0.7777777777777778,True,1,
chemprot,tail,cytosolic phospholipase A2,"We examined the effect of the highly lipophilic corticosteroid, fluticasone propionate (FP), in causing (1) inhibition of nuclear translocation of cytosolic phospholipase A2 (cPLA2), and (2) blockade of leukotriene C4 (LTC4) synthesis in isolated human eosinophils in vitro.",CPR:3,,FPLX,PLA2,PLA2,1.0,True,2,
chemprot,head,PGI(2)-stimulated,"Loss of either G(z)alpha or G(i2)alpha impaired the ability of ADP and epinephrine to inhibit PGI(2)-stimulated adenylyl cyclase activity and caused a 40%-50% rise in basal cAMP levels, whereas loss of G(i3)alpha did not.",CPR:3,,,,,0.0,False,0,
chemprot,tail,PGI(2)-stimulated,"Loss of either G(z)alpha or G(i2)alpha impaired the ability of ADP and epinephrine to inhibit PGI(2)-stimulated adenylyl cyclase activity and caused a 40%-50% rise in basal cAMP levels, whereas loss of G(i3)alpha did not.",CPR:3,,,,,0.0,False,0,
chemprot,head,ammonium transporter,"Immunoreactivity for a second putative ammonium transporter, RhCG, was present in the apical region of cells with almost the same distribution as RhBG.",CPR:4,,,,,0.0,False,0,
chemprot,tail,ammonium,"Immunoreactivity for a second putative ammonium transporter, RhCG, was present in the apical region of cells with almost the same distribution as RhBG.",CPR:4,,CHEBI,CHEBI:28938,ammonium,0.7777777777777778,True,1,
chemprot,head,thromboxane B2,"The higher concentrations in calves were insufficient to inhibit significantly exudate prostaglandin E2 (PGE2), leukotriene B4 (LTB4) and beta-glucuronidase concentrations and exudate leucocyte numbers, serum thromboxane B2 (TxB2), and bradykinin-induced skin swelling.",other,,CHEBI,CHEBI:28728,thromboxane B2,0.7777777777777778,True,2,
chemprot,tail,bradykinin-induced,"The higher concentrations in calves were insufficient to inhibit significantly exudate prostaglandin E2 (PGE2), leukotriene B4 (LTB4) and beta-glucuronidase concentrations and exudate leucocyte numbers, serum thromboxane B2 (TxB2), and bradykinin-induced skin swelling.",other,,,,,0.0,False,0,
chemprot,head,AChR,Long-chain alkanols are general anesthetics which can also act as uncharged noncompetitive inhibitors of the peripheral nicotinic acetylcholine receptor (AChR) by binding to one or more specific sites on the AChR.,CPR:3,,,,,0.0,False,0,
chemprot,tail,AChR,Long-chain alkanols are general anesthetics which can also act as uncharged noncompetitive inhibitors of the peripheral nicotinic acetylcholine receptor (AChR) by binding to one or more specific sites on the AChR.,CPR:3,,,,,0.0,False,0,
chemprot,head,"4-chloro-6-[(2,3-xylidine)-pirimidinylthio] acetic acid","4-chloro-6-[(2,3-xylidine)-pirimidinylthio] acetic acid (WY-14,643), a specific ligand of the PPAR-alpha subtype, causes the most dramatic increase in UCP-3 mRNA, whereas troglitazone, a specific activator of PPAR-gamma, also significantly increases UCP-3 mRNA abundance in skeletal muscle of lactating mice.",CPR:3,,,,,0.0,False,0,
chemprot,tail,"4-chloro-6-[(2,3-xylidine)-pirimidinylthio","4-chloro-6-[(2,3-xylidine)-pirimidinylthio] acetic acid (WY-14,643), a specific ligand of the PPAR-alpha subtype, causes the most dramatic increase in UCP-3 mRNA, whereas troglitazone, a specific activator of PPAR-gamma, also significantly increases UCP-3 mRNA abundance in skeletal muscle of lactating mice.",CPR:3,,,,,0.0,False,0,
chemprot,head,prostacyclin,"Platelet responses at sites of vascular injury are regulated by intracellular cAMP levels, which rise rapidly when prostacyclin (PGI(2)) is released from endothelial cells.",CPR:3,,CHEBI,CHEBI:15552,prostaglandin I2,0.5400948258091115,True,1,
chemprot,tail,prostacyclin,"Platelet responses at sites of vascular injury are regulated by intracellular cAMP levels, which rise rapidly when prostacyclin (PGI(2)) is released from endothelial cells.",CPR:3,,CHEBI,CHEBI:15552,prostaglandin I2,0.5400948258091115,True,1,
chemprot,head,acetylcholinesterase (AChE,"This study sought to examine the feasibility of prolonged assessment of acetylcholinesterase (AChE) activity in the cerebrospinal fluid (CSF) of volunteers and to test the hypothesis that rivastigmine (ENA-713; Exelon, Novartis Pharma AG, Basel, Switzerland) selectively inhibits AChE in CSF in humans at a dose producing minimal inhibition of the peripheral enzyme.",CPR:3,,,,,0.0,False,0,
chemprot,tail,ENA-713,"This study sought to examine the feasibility of prolonged assessment of acetylcholinesterase (AChE) activity in the cerebrospinal fluid (CSF) of volunteers and to test the hypothesis that rivastigmine (ENA-713; Exelon, Novartis Pharma AG, Basel, Switzerland) selectively inhibits AChE in CSF in humans at a dose producing minimal inhibition of the peripheral enzyme.",CPR:3,,,,,0.0,False,0,
chemprot,head,HCC-1,"We have previously isolated from human hemofiltrate an N-terminally truncated form of the hemofiltrate CC chemokine 1 (HCC-1), and characterized HCC-1[9-74] as a strong agonist of CCR1, CCR5, and to a lower extent CCR3.",other,,HGNC,10612,CCL14,0.5555555555555556,True,3,
chemprot,tail,CCR1,"We have previously isolated from human hemofiltrate an N-terminally truncated form of the hemofiltrate CC chemokine 1 (HCC-1), and characterized HCC-1[9-74] as a strong agonist of CCR1, CCR5, and to a lower extent CCR3.",other,,HGNC,1602,CCR1,0.7777777777777778,True,1,
chemprot,head,Aspirin,Aspirin and sodium salicylate (salicylates) have been reported to have multiple pharmacological actions.,CPR:3,,CHEBI,CHEBI:15365,acetylsalicylic acid,0.984539270253556,True,1,
chemprot,tail,sodium,Aspirin and sodium salicylate (salicylates) have been reported to have multiple pharmacological actions.,CPR:3,,CHEBI,CHEBI:26708,sodium atom,0.5555555555555556,True,2,
chemprot,head,phosphoenolpyruvate,Rosiglitazone modestly increased apolipoprotein C-III mRNA and had no effect on expression of the other 2 genes in the liver but increased the expression of glucose transporter 4 and phosphoenolpyruvate carboxykinase in adipose tissue.,CPR:3,,CHEBI,CHEBI:18021,phosphoenolpyruvate,0.7777777777777778,True,3,
chemprot,tail,phosphoenolpyruvate,Rosiglitazone modestly increased apolipoprotein C-III mRNA and had no effect on expression of the other 2 genes in the liver but increased the expression of glucose transporter 4 and phosphoenolpyruvate carboxykinase in adipose tissue.,CPR:3,,CHEBI,CHEBI:18021,phosphoenolpyruvate,0.7777777777777778,True,3,
chemprot,head,BSP,"In complementary RNA (cRNA)-injected Xenopus laevis oocytes, rifamycin SV (10 micromol/L) cis-inhibited human organic anion transporting polypeptide C (SLC21A6) (OATP-C), human organic anion transporting polypeptide 8 (SLC21A8) (OATP8), human organic anion transporting polypeptide B (SLC21A9) (OATP-B), and human organic anion transporting polypeptide A (SLC21A3) (OATP-A) mediated BSP uptake by 69%, 79%, 89%, and 57%, respectively, as compared with uptake into control oocytes.",CPR:3,,HGNC,5341,IBSP,0.5555555555555556,True,1,
chemprot,tail,human organic anion transporting polypeptide A,"In complementary RNA (cRNA)-injected Xenopus laevis oocytes, rifamycin SV (10 micromol/L) cis-inhibited human organic anion transporting polypeptide C (SLC21A6) (OATP-C), human organic anion transporting polypeptide 8 (SLC21A8) (OATP8), human organic anion transporting polypeptide B (SLC21A9) (OATP-B), and human organic anion transporting polypeptide A (SLC21A3) (OATP-A) mediated BSP uptake by 69%, 79%, 89%, and 57%, respectively, as compared with uptake into control oocytes.",CPR:3,,,,,0.0,False,0,
chemprot,head,urokinase-type,"This activity was fully inhibited by inhibitors of urokinase-type plasminogen activator (uPA), including PA inhibitor-1, an anti-uPA mAb, and amiloride.",CPR:6,,,,,0.0,False,0,
chemprot,tail,urokinase-type plasminogen activator (uPA,"This activity was fully inhibited by inhibitors of urokinase-type plasminogen activator (uPA), including PA inhibitor-1, an anti-uPA mAb, and amiloride.",CPR:6,,,,,0.0,False,0,
chemprot,head,arachidonic acid,"From these results, it was suggested that the contraction induced by nicotine in the rat coronary artery in the presence of L-NAME and arachidonic acid is endothelium dependent, and involves reactive oxygen species and endothelial COX-1 metabolites of arachidonic acid.",CPR:3,,CHEBI,CHEBI:15843,arachidonic acid,0.7777777777777778,True,1,
chemprot,tail,oxygen,"From these results, it was suggested that the contraction induced by nicotine in the rat coronary artery in the presence of L-NAME and arachidonic acid is endothelium dependent, and involves reactive oxygen species and endothelial COX-1 metabolites of arachidonic acid.",CPR:3,,CHEBI,CHEBI:15379,dioxygen,1.0,True,2,
chemprot,head,calcium,"The preferred initial agents for the treatment of high blood pressure are low-dose thiazide diuretics, beta blockers, calcium antagonists, and angiotensin-converting enzyme (ACE) inhibitors.",other,,CHEBI,CHEBI:29108,calcium(2+),1.0,True,3,
chemprot,tail,ACE,"The preferred initial agents for the treatment of high blood pressure are low-dose thiazide diuretics, beta blockers, calcium antagonists, and angiotensin-converting enzyme (ACE) inhibitors.",other,,HGNC,2707,ACE,0.7777777777777778,True,12,
chemprot,head,5-HT(1B/1D) receptor,"sumatriptan is likely due to its weaker functional 5-HT(1B/1D) receptor agonist potency than eletriptan and zolmitriptan, rather than lower brain levels, consistent with sumatriptan's fivefold lower potency after intracerebral administration.",CPR:4,,,,,0.0,False,0,
chemprot,tail,5-HT(1B/1D,"sumatriptan is likely due to its weaker functional 5-HT(1B/1D) receptor agonist potency than eletriptan and zolmitriptan, rather than lower brain levels, consistent with sumatriptan's fivefold lower potency after intracerebral administration.",CPR:4,,,,,0.0,False,0,
chemprot,head,prazosin,"In these tissues, JTH-601, prazosin (a non-selective alpha(1)-adrenoceptor antagonist), and tamsulosin (an alpha(1A)-adrenoceptor antagonist) competitively antagonized contraction in a concentration-dependent manner.",CPR:3,,CHEBI,CHEBI:8364,prazosin,0.7777777777777778,True,1,
chemprot,tail,tamsulosin,"In these tissues, JTH-601, prazosin (a non-selective alpha(1)-adrenoceptor antagonist), and tamsulosin (an alpha(1A)-adrenoceptor antagonist) competitively antagonized contraction in a concentration-dependent manner.",CPR:3,,CHEBI,CHEBI:9398,tamsulosin,0.7777777777777778,True,1,
chemprot,head,Mibefradil,Mibefradil (Ro 40-5967) belongs to a new chemical class of these molecules which differs from other Ca2+ antagonists by its ability to potently block T-type Ca2+ channels.,CPR:3,,CHEBI,CHEBI:6920,Mibefradil,0.7777777777777778,True,1,
chemprot,tail,Ca2,Mibefradil (Ro 40-5967) belongs to a new chemical class of these molecules which differs from other Ca2+ antagonists by its ability to potently block T-type Ca2+ channels.,CPR:3,,HGNC,1373,CA2,0.7245928674500104,True,1,
chemprot,head,Hsp72,"Here Hsp72, Hsp27 and heme oxygenase-1 (HO-1) were induced in cultured rat astrocytes, and protection against oxidative stress was investigated.",other,,HGNC,5232,HSPA1A,0.5023706452277881,True,2,
chemprot,tail,heme oxygenase-1,"Here Hsp72, Hsp27 and heme oxygenase-1 (HO-1) were induced in cultured rat astrocytes, and protection against oxidative stress was investigated.",other,,HGNC,5013,HMOX1,0.7623170480313337,True,1,
